test_subject,train_n_trials,test_n_trials,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,specificity,f1,auroc,auprc,brier
SUBJ_000206,8049,102,33,5,1,63,0.9411764705882353,0.9263980263157895,0.9264705882352942,0.984375,0.868421052631579,0.9545454545454546,,,
SUBJ_001430,8049,102,31,7,4,60,0.8921568627450981,0.8766447368421053,0.8955223880597015,0.9375,0.8157894736842105,0.916030534351145,,,
SUBJ_002923,8049,102,29,9,0,64,0.9117647058823529,0.881578947368421,0.8767123287671232,1.0,0.7631578947368421,0.9343065693430657,,,
SUBJ_003328,8049,102,28,10,3,61,0.8725490196078431,0.844983552631579,0.8591549295774648,0.953125,0.7368421052631579,0.9037037037037037,,,
SUBJ_004117,8049,102,33,5,0,64,0.9509803921568627,0.9342105263157895,0.927536231884058,1.0,0.868421052631579,0.9624060150375939,,,
SUBJ_008304,8049,102,35,3,1,63,0.9607843137254902,0.9527138157894737,0.9545454545454546,0.984375,0.9210526315789473,0.9692307692307692,,,
SUBJ_008728,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_011323,8050,101,28,10,34,29,0.5643564356435643,0.5985797827903091,0.7435897435897436,0.4603174603174603,0.7368421052631579,0.5686274509803921,,,
SUBJ_012088,8049,102,37,1,2,62,0.9705882352941176,0.971217105263158,0.9841269841269841,0.96875,0.9736842105263158,0.9763779527559056,,,
SUBJ_013623,8049,102,33,5,11,53,0.8431372549019608,0.8482730263157895,0.9137931034482759,0.828125,0.868421052631579,0.8688524590163934,,,
SUBJ_016552,8054,97,27,6,2,62,0.9175257731958762,0.8934659090909092,0.9117647058823529,0.96875,0.8181818181818182,0.9393939393939394,,,
SUBJ_017170,8049,102,33,5,12,52,0.8333333333333334,0.8404605263157895,0.9122807017543859,0.8125,0.868421052631579,0.859504132231405,,,
SUBJ_017499,8049,102,34,4,3,61,0.9313725490196079,0.9239309210526316,0.9384615384615385,0.953125,0.8947368421052632,0.9457364341085271,,,
SUBJ_017807,8049,102,34,4,1,63,0.9509803921568627,0.9395559210526316,0.9402985074626866,0.984375,0.8947368421052632,0.9618320610687023,,,
SUBJ_019262,8049,102,23,15,18,46,0.6764705882352942,0.6620065789473684,0.7540983606557377,0.71875,0.6052631578947368,0.736,,,
SUBJ_019297,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_019663,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_019756,8049,102,28,10,1,63,0.8921568627450981,0.860608552631579,0.863013698630137,0.984375,0.7368421052631579,0.9197080291970803,,,
SUBJ_020948,8049,102,37,1,3,61,0.9607843137254902,0.963404605263158,0.9838709677419355,0.953125,0.9736842105263158,0.9682539682539683,,,
SUBJ_021670,8049,102,36,2,2,62,0.9607843137254902,0.9580592105263157,0.96875,0.96875,0.9473684210526315,0.96875,,,
SUBJ_023739,8049,102,33,5,12,52,0.8333333333333334,0.8404605263157895,0.9122807017543859,0.8125,0.868421052631579,0.859504132231405,,,
SUBJ_024086,8049,102,36,2,2,62,0.9607843137254902,0.9580592105263157,0.96875,0.96875,0.9473684210526315,0.96875,,,
SUBJ_024137,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_024825,8049,102,33,5,0,64,0.9509803921568627,0.9342105263157895,0.927536231884058,1.0,0.868421052631579,0.9624060150375939,,,
SUBJ_026460,8049,102,32,6,4,60,0.9019607843137255,0.8898026315789473,0.9090909090909091,0.9375,0.8421052631578947,0.9230769230769231,,,
SUBJ_026824,8049,102,33,5,2,62,0.9313725490196079,0.9185855263157895,0.9253731343283582,0.96875,0.868421052631579,0.9465648854961832,,,
SUBJ_027671,8049,102,36,2,3,61,0.9509803921568627,0.9502467105263157,0.9682539682539683,0.953125,0.9473684210526315,0.9606299212598425,,,
SUBJ_027682,8049,102,29,9,0,64,0.9117647058823529,0.881578947368421,0.8767123287671232,1.0,0.7631578947368421,0.9343065693430657,,,
SUBJ_028998,8049,102,28,10,12,52,0.7843137254901961,0.774671052631579,0.8387096774193549,0.8125,0.7368421052631579,0.8253968253968254,,,
SUBJ_030676,8049,102,33,5,3,61,0.9215686274509803,0.9107730263157895,0.9242424242424242,0.953125,0.868421052631579,0.9384615384615385,,,
SUBJ_032165,8049,102,28,10,5,59,0.8529411764705882,0.829358552631579,0.855072463768116,0.921875,0.7368421052631579,0.8872180451127819,,,
SUBJ_032233,8049,102,24,14,3,61,0.8333333333333334,0.7923519736842105,0.8133333333333334,0.953125,0.631578947368421,0.8776978417266187,,,
SUBJ_032585,8049,102,31,7,10,54,0.8333333333333334,0.8297697368421053,0.8852459016393442,0.84375,0.8157894736842105,0.864,,,
SUBJ_032704,8049,102,35,3,3,61,0.9411764705882353,0.9370888157894737,0.953125,0.953125,0.9210526315789473,0.953125,,,
SUBJ_032761,8049,102,36,2,4,60,0.9411764705882353,0.9424342105263157,0.967741935483871,0.9375,0.9473684210526315,0.9523809523809523,,,
SUBJ_034574,8049,102,27,11,2,62,0.8725490196078431,0.8396381578947368,0.8493150684931506,0.96875,0.7105263157894737,0.9051094890510949,,,
SUBJ_034631,8049,102,32,6,1,63,0.9313725490196079,0.9132401315789473,0.9130434782608695,0.984375,0.8421052631578947,0.9473684210526315,,,
SUBJ_035353,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_036405,8100,51,18,1,0,32,0.9803921568627451,0.9736842105263157,0.9696969696969697,1.0,0.9473684210526315,0.9846153846153847,,,
SUBJ_036450,8049,102,31,7,3,61,0.9019607843137255,0.8844572368421053,0.8970588235294118,0.953125,0.8157894736842105,0.9242424242424242,,,
SUBJ_038023,8055,96,36,2,1,57,0.96875,0.9650635208711433,0.9661016949152542,0.9827586206896551,0.9473684210526315,0.9743589743589743,,,
SUBJ_038277,8049,102,28,10,3,61,0.8725490196078431,0.844983552631579,0.8591549295774648,0.953125,0.7368421052631579,0.9037037037037037,,,
SUBJ_038709,8049,102,36,2,0,64,0.9803921568627451,0.9736842105263157,0.9696969696969697,1.0,0.9473684210526315,0.9846153846153847,,,
SUBJ_039234,8049,102,28,10,15,49,0.7549019607843137,0.751233552631579,0.8305084745762712,0.765625,0.7368421052631579,0.7967479674796748,,,
SUBJ_039498,8049,102,38,0,5,59,0.9509803921568627,0.9609375,1.0,0.921875,1.0,0.959349593495935,,,
SUBJ_040106,8049,102,30,8,5,59,0.8725490196078431,0.8556743421052632,0.8805970149253731,0.921875,0.7894736842105263,0.9007633587786259,,,
SUBJ_040282,8049,102,33,5,5,59,0.9019607843137255,0.8951480263157895,0.921875,0.921875,0.868421052631579,0.921875,,,
SUBJ_040310,8049,102,37,1,0,64,0.9901960784313726,0.986842105263158,0.9846153846153847,1.0,0.9736842105263158,0.9922480620155039,,,
SUBJ_040724,8049,102,22,16,2,62,0.8235294117647058,0.7738486842105263,0.7948717948717948,0.96875,0.5789473684210527,0.8732394366197183,,,
SUBJ_040733,8049,102,29,9,4,60,0.8725490196078431,0.850328947368421,0.8695652173913043,0.9375,0.7631578947368421,0.9022556390977443,,,
SUBJ_041243,8049,102,22,16,0,64,0.8431372549019608,0.7894736842105263,0.8,1.0,0.5789473684210527,0.8888888888888888,,,
SUBJ_041770,8049,102,34,4,3,61,0.9313725490196079,0.9239309210526316,0.9384615384615385,0.953125,0.8947368421052632,0.9457364341085271,,,
SUBJ_042254,8049,102,30,8,18,46,0.7450980392156863,0.7541118421052632,0.8518518518518519,0.71875,0.7894736842105263,0.7796610169491526,,,
SUBJ_042779,8049,102,31,7,4,60,0.8921568627450981,0.8766447368421053,0.8955223880597015,0.9375,0.8157894736842105,0.916030534351145,,,
SUBJ_042794,8049,102,33,5,1,63,0.9411764705882353,0.9263980263157895,0.9264705882352942,0.984375,0.868421052631579,0.9545454545454546,,,
SUBJ_043192,8049,102,36,2,6,58,0.9215686274509803,0.9268092105263157,0.9666666666666667,0.90625,0.9473684210526315,0.9354838709677419,,,
SUBJ_044680,8049,102,36,2,4,60,0.9411764705882353,0.9424342105263157,0.967741935483871,0.9375,0.9473684210526315,0.9523809523809523,,,
SUBJ_045235,8049,102,23,15,3,61,0.8235294117647058,0.7791940789473684,0.8026315789473685,0.953125,0.6052631578947368,0.8714285714285714,,,
SUBJ_047636,8049,102,35,3,3,61,0.9411764705882353,0.9370888157894737,0.953125,0.953125,0.9210526315789473,0.953125,,,
SUBJ_049223,8049,102,31,7,3,61,0.9019607843137255,0.8844572368421053,0.8970588235294118,0.953125,0.8157894736842105,0.9242424242424242,,,
SUBJ_050642,8049,102,32,6,1,63,0.9313725490196079,0.9132401315789473,0.9130434782608695,0.984375,0.8421052631578947,0.9473684210526315,,,
SUBJ_051942,8049,102,30,8,1,63,0.9117647058823529,0.8869243421052632,0.8873239436619719,0.984375,0.7894736842105263,0.9333333333333333,,,
SUBJ_052342,8049,102,34,4,7,57,0.8921568627450981,0.8926809210526316,0.9344262295081968,0.890625,0.8947368421052632,0.912,,,
SUBJ_053173,8049,102,29,9,2,62,0.8921568627450981,0.865953947368421,0.8732394366197183,0.96875,0.7631578947368421,0.9185185185185185,,,
SUBJ_053217,8097,54,18,4,1,31,0.9074074074074074,0.8934659090909092,0.8857142857142857,0.96875,0.8181818181818182,0.9253731343283582,,,
SUBJ_053906,8049,102,37,1,2,62,0.9705882352941176,0.971217105263158,0.9841269841269841,0.96875,0.9736842105263158,0.9763779527559056,,,
SUBJ_054811,8049,102,38,0,3,61,0.9705882352941176,0.9765625,1.0,0.953125,1.0,0.976,,,
SUBJ_055211,8049,102,26,12,9,55,0.7941176470588235,0.7717927631578947,0.8208955223880597,0.859375,0.6842105263157895,0.8396946564885496,,,
SUBJ_056936,8049,102,36,2,1,63,0.9705882352941176,0.9658717105263157,0.9692307692307692,0.984375,0.9473684210526315,0.9767441860465116,,,
SUBJ_057917,8049,102,32,6,3,61,0.9117647058823529,0.8976151315789473,0.9104477611940298,0.953125,0.8421052631578947,0.9312977099236641,,,
SUBJ_058786,8049,102,34,4,0,64,0.9607843137254902,0.9473684210526316,0.9411764705882353,1.0,0.8947368421052632,0.9696969696969697,,,
SUBJ_058967,8049,102,36,2,3,61,0.9509803921568627,0.9502467105263157,0.9682539682539683,0.953125,0.9473684210526315,0.9606299212598425,,,
SUBJ_059330,8049,102,34,4,3,61,0.9313725490196079,0.9239309210526316,0.9384615384615385,0.953125,0.8947368421052632,0.9457364341085271,,,
SUBJ_059520,8049,102,32,6,2,62,0.9215686274509803,0.9054276315789473,0.9117647058823529,0.96875,0.8421052631578947,0.9393939393939394,,,
SUBJ_059960,8049,102,37,1,2,62,0.9705882352941176,0.971217105263158,0.9841269841269841,0.96875,0.9736842105263158,0.9763779527559056,,,
SUBJ_061552,8049,102,28,10,13,51,0.7745098039215687,0.766858552631579,0.8360655737704918,0.796875,0.7368421052631579,0.816,,,
SUBJ_063319,8049,102,34,4,2,62,0.9411764705882353,0.9317434210526316,0.9393939393939394,0.96875,0.8947368421052632,0.9538461538461539,,,
SUBJ_063346,8049,102,30,8,2,62,0.9019607843137255,0.8791118421052632,0.8857142857142857,0.96875,0.7894736842105263,0.9253731343283582,,,
SUBJ_063447,8049,102,30,8,2,62,0.9019607843137255,0.8791118421052632,0.8857142857142857,0.96875,0.7894736842105263,0.9253731343283582,,,
SUBJ_063464,8049,102,35,3,1,63,0.9607843137254902,0.9527138157894737,0.9545454545454546,0.984375,0.9210526315789473,0.9692307692307692,,,
SUBJ_064387,8049,102,36,2,1,63,0.9705882352941176,0.9658717105263157,0.9692307692307692,0.984375,0.9473684210526315,0.9767441860465116,,,
